Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
Yuki Matsui,28,255,Maj-NL,San Diego,63,,224,27,45,10,3,8,,26,4,69,0,,4,2,2,1,,,,,186.15,2024,pitcher,0.0,4.0,2.0,,62.1,26.0,3.75,0.0,254.0,1040.0,0.63,0.12,0.15,0.38,0.21,0.11,1.139,0.245,10.0,2.65,62.1
James McArthur,27,278,Maj-AL,Kansas City,57,,228,36,68,10,1,8,,14,2,49,3,,1,6,3,1,,,,,115.0,2024,pitcher,0.0,5.0,7.0,18.0,56.2,31.0,4.92,1.0,247.0,907.0,0.66,0.19,0.13,0.54,0.23,0.04,1.447,0.349,7.8,3.5,56.2
T.J. McFarland,35,266,Maj-AL,Oakland,79,,210,28,53,12,0,4,,17,5,39,4,,3,10,6,0,,,,,115.6,2024,pitcher,0.0,2.0,4.0,,56.2,24.0,3.81,0.0,235.0,836.0,0.67,0.21,0.09,0.59,0.21,0.06,1.235,0.288,6.2,2.29,56.2
Triston McKenzie,26,358,Maj-AL,Cleveland,16,,288,46,69,10,1,19,,49,1,74,1,,1,8,9,0,,,,,163.35,2024,pitcher,16.0,3.0,5.0,,75.2,43.0,5.11,2.0,340.0,1304.0,0.59,0.17,0.09,0.35,0.2,0.1,1.559,0.255,8.8,1.51,75.2
Nick Mears,27,261,Maj-NL,"Colorado,Milwaukee",56,,235,40,61,13,0,7,,24,1,78,0,,4,3,4,1,,,,,170.5,2024,pitcher,0.0,1.0,5.0,,60.0,38.0,5.7,1.0,263.0,1055.0,0.67,0.17,0.13,0.4,0.24,0.05,1.417,0.351,11.7,3.25,60.0
Tylor Megill,28,248,Maj-NL,New York,18,,318,44,76,15,1,10,,37,0,96,4,,2,3,5,2,,,,,229.55,2024,pitcher,15.0,4.0,6.0,,82.1,40.0,4.37,3.0,362.0,1471.0,0.64,0.15,0.13,0.4,0.27,0.07,1.372,0.308,10.5,2.59,82.1
Max Meyer,25,291,Maj-NL,Miami,11,,225,38,62,18,2,14,,19,0,46,3,,1,5,3,2,,,,,100.35000000000001,2024,pitcher,11.0,3.0,5.0,,57.0,36.0,5.68,1.0,248.0,968.0,0.62,0.14,0.1,0.51,0.18,0.06,1.421,0.289,7.3,2.42,57.0
Miles Mikolas,35,267,Maj-NL,St. Louis,32,,683,106,194,51,4,26,,25,0,122,5,,6,18,8,2,,,,,294.35,2024,pitcher,32.0,10.0,11.0,,171.2,102.0,5.35,0.0,720.0,2705.0,0.69,0.19,0.07,0.42,0.25,0.08,1.276,0.311,6.4,4.88,171.2
Bobby Miller,25,277,Maj-NL,Los Angeles,13,,226,53,69,7,1,17,,30,0,52,2,,0,9,5,1,,,,,65.89999999999999,2024,pitcher,13.0,2.0,4.0,,56.0,53.0,8.52,0.0,258.0,1053.0,0.6,0.14,0.1,0.45,0.25,0.05,1.768,0.331,8.4,1.73,56.0
Bryce Miller,25,271,Maj-AL,Seattle,31,,654,62,131,25,1,21,,45,1,171,3,,2,6,10,7,,,,,524.85,2024,pitcher,31.0,12.0,8.0,,180.1,59.0,2.94,2.0,704.0,2749.0,0.65,0.16,0.11,0.39,0.21,0.07,0.976,0.237,8.5,3.8,180.1
Erik Miller,26,266,Maj-NL,San Francisco,73,,244,33,50,9,2,7,,38,0,87,1,,1,5,8,3,,,,,216.6,2024,pitcher,10.0,4.0,5.0,,67.1,29.0,3.88,2.0,284.0,1272.0,0.59,0.16,0.13,0.52,0.15,0.06,1.307,0.285,11.6,2.29,67.1
Mason Miller,25,266,Maj-AL,Oakland,55,,225,23,36,5,0,6,,21,3,104,1,,2,3,6,0,,,,,285.94999999999993,2024,pitcher,0.0,2.0,2.0,28.0,65.0,18.0,2.49,0.0,249.0,1025.0,0.68,0.15,0.2,0.41,0.21,0.11,0.877,0.256,14.4,4.95,65.0
Shelby Miller,33,277,Maj-AL,Detroit,51,,203,31,41,10,0,9,,13,0,49,5,,4,2,5,0,,,,,134.35,2024,pitcher,0.0,6.0,8.0,2.0,55.2,28.0,4.53,0.0,225.0,852.0,0.66,0.17,0.11,0.41,0.2,0.09,0.97,0.215,7.9,3.77,55.2
Tyson Miller,28,266,"Maj-AL,Maj-NL","Chicago,Seattle",58,,217,18,39,8,0,7,,11,0,54,5,,1,4,4,3,,,,,185.0,2024,pitcher,0.0,5.0,1.0,1.0,62.0,16.0,2.32,1.0,235.0,937.0,0.66,0.14,0.13,0.31,0.23,0.1,0.806,0.204,7.8,4.91,62.0
Hoby Milner,33,265,Maj-NL,Milwaukee,61,,244,38,63,11,2,6,,14,2,64,2,,4,7,3,1,,,,,160.6,2024,pitcher,1.0,5.0,1.0,1.0,64.2,34.0,4.73,1.0,268.0,1044.0,0.65,0.22,0.07,0.54,0.21,0.05,1.191,0.32,8.9,4.57,64.2
