game_date,player_id,at_bats,hits,doubles,triples,home_runs,walks,strikeouts,hit_by_pitch,batting_avg,fantasy_points,total_pitches,first_name,last_name,position,player_type,team,innings_pitched,hits_allowed,home_runs_allowed,walks_allowed,total_batters
2024-09-04,668227,5.0,2.0,1.0,0.0,0.0,0.0,2,1.0,0.4,8.0,21,Randy,Arozarena,OF,b,TB,,,,,
2024-09-06,668227,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.2,3.0,21,Randy,Arozarena,OF,b,TB,,,,,
2024-09-07,668227,4.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.25,4.0,9,Randy,Arozarena,OF,b,TB,,,,,
2024-09-01,608385,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,10,Jesse,Winker,OF,b,MIL,,,,,
2024-09-02,608385,4.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,21,Jesse,Winker,OF,b,MIL,,,,,
2024-09-03,608385,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-2.0,21,Jesse,Winker,OF,b,MIL,,,,,
2024-09-04,608385,4.0,1.0,0.0,0.0,1.0,1.0,1,0.0,0.25,8.0,21,Jesse,Winker,OF,b,MIL,,,,,
2024-09-06,608385,2.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,7,Jesse,Winker,OF,b,MIL,,,,,
2024-09-07,608385,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,Jesse,Winker,OF,b,MIL,,,,,
2024-09-01,606192,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,3,Teoscar,Hernández,OF,b,LAD,,,,,
2024-09-02,606192,5.0,5.0,1.0,1.0,0.0,0.0,0,0.0,1.0,20.0,17,Teoscar,Hernández,OF,b,LAD,,,,,
2024-09-03,606192,5.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,-3.0,24,Teoscar,Hernández,OF,b,LAD,,,,,
2024-09-04,606192,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,9,Teoscar,Hernández,OF,b,LAD,,,,,
